farm_id,farmer_name,district,state,latitude,longitude,crop_type,farm_area,soil_health,soil_moisture,temperature,precipitation,humidity,drought_index,flood_risk,pest_risk,historical_yield,expected_yield,yield_variation,season,irrigation_status,weather_volatility,crop_price,previous_loss,climate_resilience,risk_score,crop_failure
FARM-032,Harpreet Chauhan,Sri Ganganagar,Rajasthan,30.1343,73.7431,Pulses,2.42,30.8,8.0,28.5,46.8,27.3,0.891,0.11,0.637,1.57,1.64,0.853,Rabi,None,0.593,6207.0,0.294,0.275,0.9694,1
FARM-033,Harpreet Naidu,Sri Ganganagar,Rajasthan,29.608,74.0352,Mustard,3.2,35.6,18.6,30.9,52.9,27.9,0.884,0.245,0.0,0.9,0.97,0.448,Rabi,Partial,0.197,5504.0,0.269,0.509,0.4325,1
FARM-034,Kamla Meena,Rajkot,Gujarat,22.3461,70.9173,Pulses,3.52,51.4,30.4,32.9,21.1,65.9,0.317,0.232,0.395,1.22,1.16,0.271,Rabi,Partial,0.47,7137.0,0.26,0.437,0.414,0
FARM-035,Pushpa Ghosh,Kota,Rajasthan,25.1032,75.8014,Cotton,2.28,43.7,14.1,31.2,27.6,40.7,0.653,0.126,0.357,2.13,2.09,0.672,Kharif,None,0.896,7085.0,0.498,0.257,0.99,1
FARM-036,Babu Murugan,Aurangabad,Maharashtra,19.8759,75.2279,Maize,1.92,45.9,32.1,28.2,35.2,45.5,0.312,0.307,0.361,3.52,3.65,0.504,Kharif,Partial,0.068,2254.0,0.43,0.565,0.3579,1
FARM-037,Meena Jat,Warangal,Telangana,17.8126,79.8629,Maize,4.43,60.6,31.9,28.3,135.5,43.8,0.312,0.317,0.436,3.36,3.18,0.33,Kharif,None,0.369,1879.0,0.354,0.435,0.3228,0
FARM-038,Raju Rao,Ludhiana,Punjab,31.1141,75.8225,Maize,1.5,70.7,28.6,21.4,10.5,50.1,0.404,0.326,0.247,3.9,4.55,0.546,Kharif,Partial,0.606,1793.0,0.314,0.464,0.5832,1
FARM-039,Radha Rao,Dharwad,Karnataka,15.6716,75.0446,Sugarcane,0.48,77.5,38.1,27.3,130.5,55.4,0.341,0.392,0.062,89.42,91.78,0.181,Annual,Good,0.258,405.0,0.345,0.617,0.0228,0
FARM-040,Dinesh Das,Coimbatore,Tamil Nadu,10.8947,77.0003,Pulses,3.0,50.3,31.7,28.8,27.6,71.6,0.272,0.413,0.456,0.76,0.76,0.176,Rabi,Good,0.294,6472.0,0.173,0.648,0.1138,0
FARM-041,Babu Chauhan,Jaipur,Rajasthan,27.0945,75.7605,Cotton,0.5,55.1,12.0,27.8,16.4,35.3,0.674,0.0,0.438,1.19,1.25,0.438,Kharif,None,0.39,6210.0,0.18,0.398,0.8976,1
FARM-042,Kavita Bishnoi,Meerut,Uttar Pradesh,28.8406,77.5986,Wheat,1.66,76.1,46.3,27.9,160.2,53.8,0.412,0.315,0.581,4.16,4.38,0.742,Rabi,Good,0.453,2496.0,0.113,0.539,0.1779,0
FARM-043,Sukhwinder Meena,Meerut,Uttar Pradesh,28.9786,77.7593,Sugarcane,0.67,60.4,33.3,25.8,67.8,58.5,0.397,0.553,0.388,83.22,85.13,0.491,Annual,Partial,0.582,310.0,0.297,0.456,0.859,1
FARM-044,Anita Patil,Dharwad,Karnataka,15.4134,75.2761,Maize,1.63,60.1,19.4,28.4,31.5,45.7,0.462,0.209,0.333,2.93,2.81,0.471,Kharif,None,0.229,1912.0,0.342,0.391,0.6303,1
FARM-045,Sunil Patil,Latur,Maharashtra,18.5305,76.816,Maize,2.64,35.9,22.1,28.1,37.2,42.5,0.539,0.344,0.208,0.96,0.95,0.443,Kharif,None,0.427,2261.0,0.182,0.378,0.7479,1
FARM-046,Prakash Chauhan,Guntur,Andhra Pradesh,15.9641,80.6432,Cotton,1.07,53.6,17.6,26.3,111.8,51.2,0.385,0.36,0.593,1.23,1.24,0.256,Kharif,None,0.387,6310.0,0.089,0.421,0.429,1
FARM-047,Savita Jadhav,Karnal,Haryana,29.7773,77.0329,Wheat,1.82,76.8,31.7,25.0,37.3,68.6,0.545,0.289,0.224,4.49,4.43,0.386,Rabi,Good,0.425,2354.0,0.363,0.827,0.0172,0
FARM-048,Sukhwinder Pillai,Ludhiana,Punjab,30.7,76.064,Wheat,1.01,91.5,31.7,26.4,50.1,59.3,0.24,0.094,0.339,6.22,6.11,0.236,Rabi,Partial,0.26,2024.0,0.307,0.684,0.0524,0
FARM-049,Prakash Kaur,Muzaffarpur,Bihar,26.258,85.1696,Rice,18.18,66.0,34.9,27.8,70.0,65.2,0.454,0.583,0.282,3.89,3.84,0.153,Kharif,Good,0.427,2386.0,0.171,0.7,0.1474,0
FARM-050,Rajinder Ghosh,Gwalior,Madhya Pradesh,26.237,78.3212,Pulses,1.4,40.1,28.9,29.4,88.8,49.3,0.527,0.221,0.445,1.37,1.4,0.553,Rabi,Partial,0.364,7597.0,0.168,0.471,0.5214,0
FARM-051,Narayan Meena,Rohtak,Haryana,29.0423,76.6474,Rice,2.3,64.3,40.8,31.4,53.7,49.4,0.278,0.394,0.412,4.41,4.51,0.303,Kharif,Good,0.181,2389.0,0.235,0.63,0.1365,0
FARM-052,Meena Pillai,Nagpur,Maharashtra,21.1922,78.7548,Rice,0.73,58.2,16.4,27.2,53.3,59.4,0.691,0.06,0.357,4.07,4.13,0.537,Kharif,None,0.533,2181.0,0.295,0.352,0.9576,1
FARM-053,Meena Rao,Nizamabad,Telangana,18.4721,78.1422,Cotton,3.69,82.0,31.1,29.1,91.2,47.7,0.708,0.093,0.677,2.36,2.13,0.148,Kharif,Good,0.179,6204.0,0.426,0.839,0.0315,0
FARM-054,Anita Patil,Aurangabad,Maharashtra,19.9895,75.3014,Sugarcane,1.79,62.6,42.8,25.1,94.0,56.0,0.102,0.302,0.399,72.18,74.96,0.445,Annual,None,0.386,327.0,0.146,0.237,0.4062,0
FARM-055,Lakshmi Rao,Sirsa,Haryana,29.5803,75.2664,Cotton,3.48,72.0,40.7,24.9,54.0,52.8,0.172,0.216,0.481,1.91,1.88,0.39,Kharif,Good,0.273,7415.0,0.172,0.66,0.0731,0
FARM-056,Bhagwan Yadav,Nizamabad,Telangana,18.7056,77.8867,Rice,2.73,61.6,46.1,31.2,147.7,50.0,0.327,0.201,0.361,4.91,5.0,0.205,Kharif,Good,0.045,1939.0,0.189,0.763,0.01,0
FARM-057,Mohan Choudhary,Sri Ganganagar,Rajasthan,29.8405,73.847,Pulses,3.71,43.1,15.3,30.2,33.9,33.1,0.42,0.272,0.503,1.09,1.1,0.706,Rabi,None,0.742,5909.0,0.414,0.214,0.878,0
FARM-058,Kishan Meena,Indore,Madhya Pradesh,22.8992,75.8366,Rice,3.67,49.3,35.1,27.6,116.2,52.0,0.291,0.399,0.312,4.3,4.19,0.244,Kharif,Good,0.164,2307.0,0.405,0.681,0.0868,0
FARM-059,Kavita Verma,Ludhiana,Punjab,30.7414,75.8891,Wheat,2.29,70.7,43.6,25.2,76.2,58.0,0.363,0.573,0.331,4.64,5.07,0.461,Rabi,Good,0.37,2376.0,0.49,0.652,0.1814,0
FARM-060,Mohan Murugan,Sirsa,Haryana,29.6278,74.9815,Cotton,9.25,75.5,30.8,25.3,36.0,50.7,0.438,0.457,0.636,0.98,1.04,0.678,Kharif,Good,0.586,7380.0,0.521,0.68,0.6153,0
FARM-061,Sunil Mondal,Coimbatore,Tamil Nadu,11.224,76.7905,Rice,3.35,38.1,44.4,30.0,199.4,79.8,0.36,0.467,0.565,4.39,4.36,0.229,Kharif,None,0.353,2560.0,0.102,0.218,0.5846,1
FARM-062,Sunita Murugan,Jodhpur,Rajasthan,26.0613,72.9846,Mustard,0.97,29.7,22.0,29.8,21.0,25.1,0.545,0.003,0.182,1.14,1.2,0.237,Rabi,None,0.212,5610.0,0.379,0.357,0.4303,0
FARM-063,Sunil Ghosh,Muzaffarpur,Bihar,26.0275,85.4424,Pulses,1.17,41.1,22.6,29.3,57.5,65.3,0.347,0.616,0.454,1.35,1.33,0.361,Rabi,None,0.197,5639.0,0.35,0.348,0.5596,1
FARM-064,Laxman Rao,Lucknow,Uttar Pradesh,26.5062,80.7197,Wheat,2.35,60.0,29.3,29.6,116.3,63.2,0.356,0.341,0.327,4.06,4.06,0.449,Rabi,None,0.633,2110.0,0.098,0.358,0.5861,1
FARM-065,Rekha Jadhav,Warangal,Telangana,18.2909,79.5068,Cotton,1.86,47.6,38.7,28.0,208.2,51.2,0.79,0.341,0.628,0.87,0.96,0.433,Kharif,Good,0.648,7057.0,0.186,0.506,0.7982,1
FARM-066,Ramesh Kumar,Dharwad,Karnataka,15.4305,74.933,Maize,3.63,54.9,24.5,27.5,43.6,56.7,0.457,0.293,0.314,3.47,3.3,0.275,Kharif,None,0.516,1984.0,0.147,0.246,0.6622,1
FARM-067,Suresh Kumar,Ludhiana,Punjab,30.6368,75.9904,Wheat,4.44,55.1,27.0,25.7,70.4,58.1,0.257,0.138,0.252,5.16,5.62,0.583,Rabi,None,0.512,2319.0,0.082,0.358,0.3527,1
FARM-068,Sunita Choudhary,Sirsa,Haryana,29.4689,74.8598,Rice,3.83,59.4,33.4,32.2,23.5,59.1,0.411,0.044,0.356,3.62,3.57,0.309,Kharif,Good,0.292,2077.0,0.214,0.667,0.1134,0
FARM-069,Sanjay Jat,Kolhapur,Maharashtra,16.4468,74.4238,Sugarcane,1.85,58.5,29.7,30.0,69.5,59.4,0.459,0.33,0.285,57.37,62.6,0.4,Annual,Good,0.21,329.0,0.326,0.509,0.3128,1
FARM-070,Bhagwan Sharma,Nizamabad,Telangana,18.6172,78.0762,Maize,7.54,62.6,37.6,30.1,124.6,64.0,0.75,0.198,0.482,2.98,3.38,0.409,Kharif,Good,0.323,2075.0,0.527,0.692,0.1952,0
FARM-071,Bhagwan Kumar,Mandya,Karnataka,12.776,76.9379,Rice,2.87,75.2,35.3,27.9,164.7,81.1,0.589,0.12,0.499,3.53,3.87,0.341,Kharif,Good,0.46,2374.0,0.153,0.566,0.1101,0
FARM-072,Harpreet Ghosh,Meerut,Uttar Pradesh,29.1124,77.4655,Mustard,2.98,62.9,35.3,27.8,35.6,70.7,0.42,0.553,0.384,1.67,1.91,0.296,Rabi,Good,0.431,5727.0,0.298,0.722,0.1818,0
FARM-073,Rekha Das,Gorakhpur,Uttar Pradesh,26.6078,83.5246,Sugarcane,0.82,72.5,36.0,29.3,45.2,48.2,0.258,0.24,0.334,79.38,81.15,0.234,Annual,Partial,0.287,361.0,0.36,0.634,0.0997,0
FARM-074,Mahesh Verma,Amritsar,Punjab,31.8488,75.1609,Maize,3.01,80.2,36.8,23.5,46.5,48.0,0.28,0.274,0.445,4.27,4.33,0.356,Kharif,Good,0.352,2387.0,0.642,0.751,0.0988,0
FARM-075,Babu Bishnoi,Lucknow,Uttar Pradesh,26.7405,80.8102,Wheat,2.05,48.0,29.2,25.0,71.4,66.4,0.363,0.296,0.312,3.34,3.17,0.297,Rabi,Good,0.414,2125.0,0.472,0.576,0.1706,1
FARM-076,Lakshmi Rathore,Salem,Tamil Nadu,11.4257,78.1128,Maize,1.84,51.7,29.6,31.6,62.2,71.4,0.327,0.301,0.538,4.28,4.14,0.207,Kharif,None,0.505,2235.0,0.108,0.314,0.5962,0
FARM-077,Harpreet Patel,Aurangabad,Maharashtra,19.6727,75.5405,Cotton,2.95,60.8,32.0,28.6,81.6,44.2,0.404,0.392,0.441,0.94,0.9,0.368,Kharif,Partial,0.134,7129.0,0.188,0.551,0.1002,0
FARM-078,Meena Kaur,Kota,Rajasthan,25.3483,75.7597,Wheat,1.46,59.1,28.2,25.0,49.0,31.8,0.632,0.223,0.2,4.29,4.24,0.572,Rabi,Partial,0.5,2482.0,0.391,0.538,0.4762,0
FARM-079,Harpreet Reddy,Mandya,Karnataka,12.6838,76.9511,Cotton,2.57,52.6,36.1,25.9,78.7,46.9,0.454,0.274,0.653,1.91,1.94,0.313,Kharif,Good,0.351,5424.0,0.263,0.568,0.2224,1
FARM-080,Harpreet Murugan,Bhopal,Madhya Pradesh,23.2654,77.359,Maize,2.68,57.2,16.4,22.6,31.9,54.9,0.387,0.182,0.451,3.89,3.83,0.175,Kharif,None,0.178,2266.0,0.238,0.455,0.2602,0
FARM-081,Savita Bishnoi,Warangal,Telangana,18.2808,79.6788,Cotton,0.83,57.6,20.1,23.7,19.4,55.1,0.343,0.354,0.938,2.86,2.92,0.567,Kharif,None,0.35,6654.0,0.329,0.502,0.9885,1
FARM-082,Rajinder Patil,Murshidabad,West Bengal,24.3561,88.1731,Rice,0.81,73.7,43.5,31.3,169.9,68.2,0.334,0.594,0.63,5.05,5.48,0.462,Kharif,None,0.579,2461.0,0.269,0.451,0.6929,1
FARM-083,Suresh Patil,Khammam,Telangana,17.0318,79.978,Rice,2.91,73.8,22.5,28.4,115.9,56.1,0.36,0.348,0.281,5.46,5.68,0.397,Kharif,None,0.225,2056.0,0.179,0.426,0.1929,0
FARM-084,Geeta Reddy,Anantapur,Andhra Pradesh,14.9153,77.6633,Rice,0.97,70.3,19.2,27.8,111.6,66.4,0.427,0.516,0.315,3.46,3.62,0.457,Kharif,None,0.576,2457.0,0.141,0.43,0.7309,1
FARM-085,Anita Choudhary,Gwalior,Madhya Pradesh,26.1105,77.8384,Rice,2.8,66.1,56.3,23.1,107.2,55.6,0.281,0.288,0.457,4.19,4.41,0.742,Kharif,Good,0.506,2159.0,0.419,0.694,0.2167,0
FARM-086,Radha Deshmukh,Patna,Bihar,25.2565,85.2951,Wheat,1.51,65.8,31.6,25.9,108.3,62.9,0.221,0.574,0.274,4.56,4.98,0.16,Rabi,Partial,0.287,2322.0,0.166,0.634,0.0974,0
FARM-087,Narayan Kumar,Hooghly,West Bengal,23.2448,88.2268,Rice,2.49,70.4,40.1,26.1,139.8,62.3,0.514,0.841,0.311,2.94,2.81,0.306,Kharif,Good,0.422,2536.0,0.367,0.672,0.2621,0
FARM-088,Kishan Das,Gaya,Bihar,24.5692,84.9909,Rice,1.46,53.4,27.1,27.6,81.0,74.8,0.271,0.658,0.554,4.02,4.01,0.521,Kharif,None,0.391,2210.0,0.286,0.345,0.8714,1
FARM-089,Shanti Jat,Latur,Maharashtra,18.0925,76.6737,Pulses,1.9,39.7,38.5,29.5,45.8,52.7,0.328,0.186,0.53,1.18,1.2,0.524,Rabi,Good,0.226,5434.0,0.204,0.551,0.0936,0
FARM-090,Sanjay Rao,Hisar,Haryana,29.4785,75.5012,Wheat,2.53,87.6,8.0,24.4,33.9,52.0,0.401,0.299,0.271,4.81,5.14,0.43,Rabi,None,0.233,2499.0,0.45,0.619,0.2513,0
FARM-091,Kishan Patel,Sri Ganganagar,Rajasthan,29.9616,73.9224,Mustard,1.25,71.6,23.8,27.6,19.0,42.3,0.654,0.0,0.275,1.25,1.37,0.523,Rabi,Partial,0.317,4874.0,0.238,0.607,0.203,1
FARM-092,Ganesh Kumar,Ujjain,Madhya Pradesh,23.2813,75.7832,Maize,1.75,46.7,28.2,23.2,95.4,57.6,0.343,0.346,0.381,2.42,2.29,0.317,Kharif,Partial,0.214,2316.0,0.126,0.438,0.1627,0
FARM-093,Suresh Naidu,Bikaner,Rajasthan,27.9631,73.1928,Mustard,3.24,51.6,18.5,27.3,15.5,40.1,0.816,0.066,0.301,2.35,2.39,0.22,Rabi,Partial,0.425,5466.0,0.532,0.441,0.6741,0
FARM-094,Savita Yadav,Coimbatore,Tamil Nadu,11.197,76.8468,Rice,6.15,72.7,34.2,30.1,57.2,61.6,0.297,0.231,0.47,4.13,4.07,0.261,Kharif,Partial,0.483,2411.0,0.386,0.503,0.3903,0
FARM-095,Mahesh Kaur,Murshidabad,West Bengal,24.2256,88.4311,Rice,11.79,81.7,27.8,26.3,100.5,68.3,0.449,0.445,0.467,4.63,5.23,0.258,Kharif,None,0.25,2297.0,0.146,0.503,0.2197,0
FARM-096,Prakash Meena,Bathinda,Punjab,30.2044,74.6902,Rice,2.22,70.2,31.6,23.8,45.9,65.1,0.378,0.281,0.578,3.96,3.96,0.416,Kharif,Good,0.49,2206.0,0.337,0.504,0.4943,0
FARM-097,Sunita Kumar,Patna,Bihar,25.5864,84.9927,Wheat,1.81,70.3,14.6,31.5,94.6,60.5,0.368,0.617,0.235,4.24,4.48,0.475,Rabi,None,0.597,2093.0,0.196,0.343,0.7503,1
FARM-098,Shanti Mondal,Latur,Maharashtra,18.3452,76.5215,Rice,5.01,49.6,15.2,28.3,66.2,50.1,0.709,0.486,0.362,3.73,3.87,0.355,Kharif,None,0.805,2091.0,0.599,0.212,0.99,1
FARM-099,Radha Singh,Nadia,West Bengal,23.4833,88.4157,Mustard,1.72,70.5,32.5,27.7,30.4,84.6,0.117,0.678,0.597,1.96,2.11,0.207,Rabi,Good,0.512,5495.0,0.246,0.655,0.2296,0
FARM-100,Kamla Jat,Agra,Uttar Pradesh,27.1584,78.2584,Mustard,3.44,82.9,38.6,25.6,154.7,88.2,0.275,0.211,0.685,1.92,1.9,0.5,Rabi,None,0.356,6312.0,0.076,0.502,0.1072,0
FARM-101,Kavita Jadhav,Krishna,Andhra Pradesh,16.7266,80.5873,Pulses,7.08,55.9,37.9,29.1,125.1,57.8,0.621,0.585,0.685,1.26,1.25,0.58,Rabi,Good,0.632,5594.0,0.364,0.604,0.8422,1
FARM-102,Manoj Reddy,Hisar,Haryana,29.1029,75.6013,Mustard,2.16,63.1,35.6,27.9,29.4,55.1,0.07,0.237,0.344,1.18,1.3,0.17,Rabi,Good,0.179,6112.0,0.275,0.808,0.01,0
FARM-103,Anita Chauhan,Nagpur,Maharashtra,21.105,78.7231,Sugarcane,2.32,52.7,23.4,26.3,82.4,37.0,0.572,0.141,0.206,81.72,74.35,0.585,Annual,None,0.512,299.0,0.452,0.452,0.8501,1
FARM-104,Shanti Pillai,Nadia,West Bengal,23.5263,88.6355,Rice,4.08,61.8,45.3,26.4,161.4,87.8,0.37,0.529,0.558,5.0,5.17,0.66,Kharif,Good,0.478,2368.0,0.34,0.593,0.5081,0
FARM-105,Savita Patel,Krishna,Andhra Pradesh,16.3693,81.031,Pulses,0.93,57.9,30.9,25.2,71.3,69.2,0.459,0.237,0.399,1.21,1.25,0.358,Rabi,Good,0.294,6373.0,0.421,0.615,0.1252,0
FARM-106,Sukhwinder Bishnoi,Nagpur,Maharashtra,21.1478,79.0333,Sugarcane,1.39,61.3,30.9,25.8,154.9,49.6,0.634,0.245,0.246,86.92,82.97,0.235,Annual,Partial,0.313,362.0,0.229,0.441,0.2817,0
FARM-107,Laxman Ghosh,Anantapur,Andhra Pradesh,14.789,77.5528,Rice,5.99,51.8,44.4,28.7,116.3,63.7,0.562,0.491,0.359,4.33,4.42,0.499,Kharif,Good,0.697,1804.0,0.422,0.52,0.6819,1
FARM-108,Lakshmi Sharma,Bhavnagar,Gujarat,21.638,72.0261,Sugarcane,8.56,73.9,21.8,28.8,69.4,44.9,0.559,0.289,0.287,63.52,63.34,0.429,Annual,None,0.426,363.0,0.454,0.565,0.726,1
FARM-109,Radha Kumar,Aurangabad,Maharashtra,20.0163,75.4964,Rice,3.1,71.0,31.3,31.7,99.0,54.6,0.604,0.125,0.318,3.21,3.13,0.415,Kharif,None,0.88,2083.0,0.245,0.235,0.839,1
FARM-110,Savita Pillai,Darbhanga,Bihar,26.0651,85.791,Pulses,1.6,71.7,36.2,26.5,89.7,69.5,0.326,0.54,0.531,1.46,1.42,0.324,Rabi,Good,0.126,5839.0,0.352,0.758,0.0754,0
FARM-111,Gurpreet Gowda,Gorakhpur,Uttar Pradesh,26.6324,83.139,Sugarcane,2.15,57.5,35.5,28.9,85.1,56.1,0.326,0.425,0.442,47.24,46.04,0.333,Annual,Partial,0.252,339.0,0.569,0.543,0.4621,1
FARM-112,Prakash Naidu,Jabalpur,Madhya Pradesh,22.9896,80.0485,Maize,2.21,56.8,28.1,30.9,17.7,55.0,0.264,0.276,0.49,3.52,3.87,0.128,Kharif,Good,0.069,2292.0,0.418,0.87,0.01,0
